primaryTitle,startYear,averageRating,numVotes,primaryTitle_clean,title,date_added,release_year,title_clean
Inception,2010,8.8,2674083,inception,Inception,2021-08-01,2010,inception
Pulp Fiction,1994,8.9,2327728,pulp fiction,Pulp Fiction,2019-01-01,1994,pulp fiction
Breaking Bad,2008,9.5,2316546,breaking bad,Breaking Bad,2013-08-02,2013,breaking bad
The Matrix,1999,8.7,2148843,the matrix,The Matrix,2019-11-01,1999,the matrix
The Lord of the Rings: The Return of the King,2003,9.0,2071611,the lord of the rings: the return of the king,The Lord of the Rings: The Return of the King,2020-01-01,2003,the lord of the rings: the return of the king
The Lord of the Rings: The Two Towers,2002,8.8,1867672,the lord of the rings: the two towers,The Lord of the Rings: The Two Towers,2020-01-01,2002,the lord of the rings: the two towers
Django Unchained,2012,8.5,1784651,django unchained,Django Unchained,2021-07-24,2012,django unchained
Inglourious Basterds,2009,8.4,1675352,inglourious basterds,Inglourious Basterds,2019-07-22,2009,inglourious basterds
Joker,2019,8.3,1602993,joker,Joker,2018-08-02,2012,joker
Shutter Island,2010,8.2,1543533,shutter island,Shutter Island,2021-02-01,2010,shutter island
Schindler's List,1993,9.0,1517814,schindler's list,Schindler's List,2018-04-01,1993,schindler's list
The Departed,2006,8.5,1483158,the departed,The Departed,2021-01-01,2006,the departed
Stranger Things,2016,8.6,1436701,stranger things,Stranger Things,2019-07-04,2019,stranger things
Goodfellas,1990,8.7,1320772,goodfellas,GoodFellas,2021-01-01,1990,goodfellas
Avengers: Infinity War,2018,8.4,1280740,avengers: infinity war,Avengers: Infinity War,2018-12-25,2018,avengers: infinity war
Kill Bill: Vol. 1,2003,8.2,1247443,kill bill: vol. 1,Kill Bill: Vol. 1,2020-01-01,2003,kill bill: vol. 1
American Beauty,1999,8.3,1246606,american beauty,American Beauty,2020-01-01,1999,american beauty
American History X,1998,8.5,1228491,american history x,American History X,2019-11-01,1998,american history x
V for Vendetta,2005,8.1,1212652,v for vendetta,V for Vendetta,2018-10-01,2005,v for vendetta
Catch Me If You Can,2002,8.1,1160041,catch me if you can,Catch Me If You Can,2021-08-01,2002,catch me if you can
Friends,1994,8.9,1140674,friends,Friends,,2003,friends
The Walking Dead,2010,8.1,1137591,the walking dead,The Walking Dead,2021-07-26,2019,the walking dead
Sherlock,2010,9.1,1045104,sherlock,Sherlock,2017-05-15,2017,sherlock
Taxi Driver,1976,8.2,975234,taxi driver,Taxi Driver,2020-02-26,2015,taxi driver
The Intouchables,2011,8.5,974912,the intouchables,The Intouchables,2021-01-11,2011,the intouchables
The Pianist,2002,8.5,965141,the pianist,The Pianist,2021-04-01,2002,the pianist
A Clockwork Orange,1971,8.2,909579,a clockwork orange,A Clockwork Orange,2020-11-01,1971,a clockwork orange
Black Panther,2018,7.3,871173,black panther,Black Panther,2018-09-04,2018,black panther
Thor: Ragnarok,2017,7.9,852371,thor: ragnarok,Thor: Ragnarok,2018-06-05,2017,thor: ragnarok
Dexter,2006,8.6,838565,dexter,Dexter,2018-01-01,2013,dexter
Gran Torino,2008,8.1,837583,gran torino,Gran Torino,2020-10-01,2008,gran torino
Indiana Jones and the Last Crusade,1989,8.2,836473,indiana jones and the last crusade,Indiana Jones and the Last Crusade,2019-01-01,1989,indiana jones and the last crusade
Kill Bill: Vol. 2,2004,8.0,835947,kill bill: vol. 2,Kill Bill: Vol. 2,2020-01-01,2004,kill bill: vol. 2
City of God,2002,8.6,835231,city of god,City of God,2020-01-01,2002,city of god
Sin City,2005,8.0,806503,sin city,Sin City,2020-08-05,2019,sin city
The Social Network,2010,7.8,788496,the social network,The Social Network,2020-04-01,2010,the social network
American Psycho,2000,7.6,776435,american psycho,American Psycho,2019-09-01,2000,american psycho
Silver Linings Playbook,2012,7.7,758592,silver linings playbook,Silver Linings Playbook,2021-06-17,2012,silver linings playbook
Psycho,1960,8.5,750419,psycho,Psycho,2020-05-01,2020,psycho
Trainspotting,1996,8.1,747913,trainspotting,Trainspotting,2019-10-01,1996,trainspotting
Million Dollar Baby,2004,8.1,744865,million dollar baby,Million Dollar Baby,2021-06-02,2004,million dollar baby
District 9,2009,7.9,734382,district 9,District 9,2019-11-04,2009,district 9
Drive,2011,7.8,733944,drive,Drive,2019-11-01,2019,drive
Spider-Man: Into the Spider-Verse,2018,8.4,726823,spider-man: into the spider-verse,Spider-Man: Into the Spider-Verse,2019-06-26,2018,spider-man: into the spider-verse
